Ngày,Đóng cửa,Mở cửa,Cao nhất,Thấp nhất,KL,% Thay đổi
29/05/2023,"67,100.00","67,300.00","67,700.00","67,100.00",1.04M,0.00%
26/05/2023,"67,100.00","67,400.00","68,000.00","67,100.00",904.50K,0.00%
25/05/2023,"67,100.00","66,200.00","67,500.00","66,000.00",1.31M,1.21%
24/05/2023,"66,300.00","67,100.00","67,400.00","66,100.00",2.35M,-1.04%
23/05/2023,"67,000.00","68,000.00","68,400.00","67,000.00",2.94M,-1.76%
22/05/2023,"68,200.00","68,700.00","69,000.00","68,200.00",1.70M,-0.58%
19/05/2023,"68,600.00","69,400.00","69,500.00","68,600.00",1.20M,-0.87%
18/05/2023,"69,200.00","69,000.00","70,000.00","68,500.00",2.50M,0.29%
17/05/2023,"69,000.00","69,700.00","69,700.00","68,800.00",1.87M,-1.00%
16/05/2023,"69,700.00","69,000.00","69,700.00","69,000.00",1.38M,1.01%
15/05/2023,"69,000.00","69,900.00","69,900.00","69,000.00",1.54M,-0.86%
12/5/2023,"69,600.00","70,400.00","70,400.00","69,500.00",1.21M,-0.57%
11/5/2023,"70,000.00","70,500.00","70,900.00","70,000.00",447.30K,-0.71%
10/5/2023,"70,500.00","70,800.00","71,100.00","70,500.00",951.60K,-0.28%
9/5/2023,"70,700.00","70,800.00","71,000.00","70,500.00",871.30K,0.43%
8/5/2023,"70,400.00","69,000.00","70,400.00","69,000.00",1.23M,2.33%
5/5/2023,"68,800.00","68,600.00","69,200.00","68,600.00",712.20K,0.29%
4/5/2023,"68,600.00","70,000.00","70,000.00","68,400.00",2.66M,-2.00%
28/04/2023,"70,000.00","69,800.00","70,200.00","69,700.00",1.12M,0.72%
27/04/2023,"69,500.00","71,000.00","71,000.00","69,500.00",1.37M,-2.11%
26/04/2023,"71,000.00","70,000.00","71,000.00","70,000.00",941.60K,1.57%
25/04/2023,"69,900.00","70,500.00","71,400.00","69,800.00",1.37M,-0.85%
24/04/2023,"70,500.00","71,000.00","71,100.00","70,200.00",1.13M,-0.56%
21/04/2023,"70,900.00","72,000.00","72,000.00","70,800.00",1.11M,-1.39%
20/04/2023,"71,900.00","72,100.00","72,600.00","71,800.00",822.30K,-0.14%
19/04/2023,"72,000.00","73,100.00","73,100.00","72,000.00",816.30K,-1.37%
18/04/2023,"73,000.00","71,800.00","73,000.00","71,800.00",931.80K,1.81%
17/04/2023,"71,700.00","72,800.00","72,900.00","71,700.00",1.37M,-1.51%
14/04/2023,"72,800.00","73,600.00","73,700.00","72,800.00",1.29M,-0.95%
13/04/2023,"73,500.00","74,300.00","74,400.00","73,500.00",889.60K,-1.08%
12/4/2023,"74,300.00","74,400.00","74,400.00","74,000.00",979.10K,-0.13%
11/4/2023,"74,400.00","74,300.00","74,500.00","74,100.00",782.80K,0.00%
10/4/2023,"74,400.00","74,700.00","74,700.00","74,400.00",832.70K,-0.40%
7/4/2023,"74,700.00","74,400.00","74,700.00","74,300.00",794.40K,0.54%
6/4/2023,"74,300.00","74,400.00","74,600.00","74,300.00",905.60K,-0.27%
5/4/2023,"74,500.00","74,200.00","74,800.00","74,100.00",963.40K,0.40%
4/4/2023,"74,200.00","74,400.00","74,500.00","74,200.00",1.82M,-0.27%
3/4/2023,"74,400.00","74,600.00","74,900.00","74,200.00",850.60K,0.00%
31/03/2023,"74,400.00","75,000.00","75,400.00","74,400.00",1.08M,-0.80%
30/03/2023,"75,000.00","74,700.00","75,400.00","74,600.00",838.70K,0.13%
29/03/2023,"74,900.00","74,700.00","74,900.00","74,400.00",907.40K,0.67%
28/03/2023,"74,400.00","74,500.00","75,300.00","74,400.00",1.65M,-0.27%
27/03/2023,"74,600.00","75,000.00","75,000.00","74,300.00",1.37M,-0.53%
24/03/2023,"75,000.00","75,000.00","75,500.00","74,800.00",932.30K,-0.40%
23/03/2023,"75,300.00","74,300.00","75,300.00","74,000.00",1.29M,1.21%
22/03/2023,"74,400.00","74,600.00","74,700.00","74,400.00",900.20K,0.00%
21/03/2023,"74,400.00","74,400.00","75,100.00","74,200.00",1.35M,0.13%
20/03/2023,"74,300.00","75,000.00","75,000.00","74,100.00",1.61M,-0.27%
17/03/2023,"74,500.00","76,400.00","76,400.00","74,500.00",2.43M,-2.49%
16/03/2023,"76,400.00","77,000.00","77,100.00","75,900.00",1.53M,-0.91%
15/03/2023,"77,100.00","76,600.00","77,300.00","76,500.00",1.96M,0.65%
14/03/2023,"76,600.00","76,300.00","76,900.00","75,600.00",1.74M,-0.39%
13/03/2023,"76,900.00","76,800.00","77,100.00","76,600.00",1.82M,0.00%
10/3/2023,"76,900.00","76,500.00","77,200.00","76,100.00",1.43M,0.52%
9/3/2023,"76,500.00","76,200.00","77,100.00","76,200.00",1.39M,0.00%
8/3/2023,"76,500.00","75,200.00","76,500.00","75,000.00",1.24M,0.92%
7/3/2023,"75,800.00","75,900.00","76,200.00","75,500.00",1.17M,1.07%
6/3/2023,"75,000.00","76,000.00","76,600.00","75,000.00",891.80K,-1.32%
3/3/2023,"76,000.00","75,000.00","76,800.00","75,000.00",704.20K,-0.65%
2/3/2023,"76,500.00","76,900.00","76,900.00","76,100.00",1.09M,-0.52%
1/3/2023,"76,900.00","75,100.00","77,000.00","75,000.00",1.64M,1.85%
28/02/2023,"75,500.00","75,500.00","75,900.00","75,100.00",1.03M,0.40%
27/02/2023,"75,200.00","74,700.00","75,900.00","74,000.00",1.11M,0.67%
24/02/2023,"74,700.00","75,700.00","76,000.00","74,500.00",1.68M,-1.32%
23/02/2023,"75,700.00","75,500.00","76,900.00","74,400.00",2.33M,0.26%
22/02/2023,"75,500.00","76,300.00","76,700.00","75,500.00",1.30M,-2.20%
21/02/2023,"77,200.00","77,500.00","77,600.00","76,700.00",888.30K,-0.39%
20/02/2023,"77,500.00","76,000.00","77,500.00","75,500.00",1.39M,1.97%
17/02/2023,"76,000.00","76,100.00","76,400.00","75,300.00",777.00K,-0.65%
16/02/2023,"76,500.00","76,000.00","76,500.00","75,600.00",691.30K,0.66%
15/02/2023,"76,000.00","74,700.00","76,000.00","74,400.00",1.44M,1.74%
14/02/2023,"74,700.00","75,300.00","75,700.00","74,400.00",1.07M,-0.80%
13/02/2023,"75,300.00","75,900.00","75,900.00","74,100.00",1.57M,-0.79%
10/2/2023,"75,900.00","75,000.00","75,900.00","75,000.00",1.24M,1.20%
9/2/2023,"75,000.00","75,800.00","76,000.00","75,000.00",1.59M,-1.06%
8/2/2023,"75,800.00","76,200.00","76,600.00","75,700.00",1.55M,-0.39%
7/2/2023,"76,100.00","77,600.00","77,600.00","76,100.00",1.27M,-1.68%
6/2/2023,"77,400.00","75,900.00","77,500.00","75,900.00",1.91M,1.84%
3/2/2023,"76,000.00","77,000.00","77,100.00","75,900.00",1.86M,-0.91%
2/2/2023,"76,700.00","77,400.00","77,500.00","76,700.00",1.49M,-0.65%
1/2/2023,"77,200.00","77,700.00","77,800.00","76,900.00",1.81M,0.13%
31/01/2023,"77,100.00","79,200.00","79,500.00","76,900.00",4.82M,-2.90%
30/01/2023,"79,400.00","80,000.00","80,000.00","79,400.00",1.61M,-0.75%
27/01/2023,"80,000.00","81,400.00","81,900.00","79,600.00",2.33M,-1.60%
19/01/2023,"81,300.00","80,800.00","81,500.00","80,000.00",2.63M,0.00%
18/01/2023,"81,300.00","80,900.00","81,500.00","80,700.00",1.30M,0.49%
17/01/2023,"80,900.00","80,200.00","81,000.00","79,400.00",1.67M,1.89%
16/01/2023,"79,400.00","80,600.00","80,800.00","79,400.00",654.70K,-1.49%
13/01/2023,"80,600.00","80,200.00","81,100.00","80,100.00",1.45M,0.75%
12/1/2023,"80,000.00","79,900.00","80,200.00","79,300.00",684.90K,0.76%
11/1/2023,"79,400.00","81,000.00","81,600.00","79,400.00",1.53M,-1.98%
10/1/2023,"81,000.00","80,900.00","81,500.00","80,600.00",1.20M,0.37%
9/1/2023,"80,700.00","79,900.00","80,700.00","79,600.00",948.30K,1.13%
6/1/2023,"79,800.00","81,000.00","81,200.00","79,600.00",1.27M,-1.72%
5/1/2023,"81,200.00","79,300.00","81,400.00","79,000.00",2.47M,2.40%
4/1/2023,"79,300.00","78,700.00","79,300.00","78,600.00",1.09M,1.02%
3/1/2023,"78,500.00","76,500.00","78,500.00","76,200.00",1.50M,3.15%
30/12/2022,"76,100.00","78,000.00","78,000.00","76,100.00",1.20M,-1.17%
29/12/2022,"77,000.00","77,400.00","78,200.00","77,000.00",1.33M,0.00%
28/12/2022,"77,000.00","76,700.00","78,000.00","76,600.00",1.19M,0.52%
27/12/2022,"76,600.00","76,800.00","78,000.00","76,000.00",1.59M,0.79%
26/12/2022,"76,000.00","76,400.00","77,600.00","75,900.00",1.66M,-0.26%
23/12/2022,"76,200.00","77,100.00","78,200.00","76,200.00",1.56M,-1.04%
